label,n,n_target,e_npv,p5,es5,ce05,loss_count,loss_rate,wilson_lo,wilson_hi,p50,E_lo,E_hi,ES_lo,ES_hi,CE_lo,CE_hi
L3,800,800,661.8,392.9,-64.1,298.9,15,0.0187,0.0114,0.0307,678.9,644.0,680.2,-263.1,136.3,192.9,407.0
M_fullstack_7.80,800,800,-164.8,-1639.5,-1892.9,-1028.9,483,0.6038,0.5694,0.6371,-287.4,-234.0,-92.4,-1975.2,-1790.4,-1087.1,-956.2
GO_accounting,800,800,424.4,-1050.2,-1302.2,-438.9,288,0.36,0.3275,0.3939,301.7,355.2,496.8,-1384.2,-1200.2,-496.9,-366.5
GO_economic,800,800,-146.6,-1514.4,-1752.2,-949.4,484,0.605,0.5707,0.6383,-243.0,-212.0,-83.2,-1834.3,-1658.5,-1009.1,-885.4
C_bulk,800,800,2523.4,1278.2,754.1,1638.7,3,0.0037,0.0013,0.011,2846.9,2477.7,2565.5,517.0,989.9,1507.4,1769.0
S_bulk,800,800,2945.0,1777.9,1189.7,2067.3,2,0.0025,0.0007,0.0091,3253.6,2902.1,2987.2,939.3,1440.4,1930.4,2206.3
