mode,CE_l00,CE_l025,CE_l05,CE_l075,CE_l10,rank_note
L3,661.8,480.4,298.9,117.4,-64.1,see paper
M_fullstack_7.80,-164.8,-596.8,-1028.9,-1460.9,-1892.9,see paper
GO_accounting,424.4,-7.2,-438.9,-870.5,-1302.2,see paper
GO_economic,-146.6,-548.0,-949.4,-1350.8,-1752.2,see paper
C_bulk,2523.4,2081.1,1638.7,1196.4,754.1,see paper
S_bulk,2945.0,2506.2,2067.3,1628.5,1189.7,see paper
