view,CE_parity_vs_L3,grid
accounting_sunk,9.75,7.0:-650.3;8.0:-305.6;9.0:38.9;10.0:383.3;11.0:727.6;12.0:1071.8
economic_transfer,11.32,7.0:-1196.8;8.0:-848.9;9.0:-502.1;10.0:-156.3;11.0:189.0;12.0:533.9
