label,n,n_target,e_npv,p5,es5,ce05,loss_count,loss_rate,wilson_lo,wilson_hi,p50,E_lo,E_hi,ES_lo,ES_hi,CE_lo,CE_hi,parameter_version,commit,seed,n_headline,decay_convention,ci_name
L3_headline,10000,10000,671.5,401.0,-47.6,312.0,187,0.0187,0.0162,0.0215,687.6,666.4,676.4,-107.0,11.9,280.2,343.3,v6.1-2026-08-15,e5fc8d7,42,10000,(1+g)**(k/12),"Simulation Bootstrap Interval, conditional on model assumptions"
M_fullstack_7.80,10000,10000,-143.4,-1593.8,-1816.4,-979.9,6062,0.6062,0.5966,0.6157,-254.2,-163.6,-123.4,-1840.2,-1790.9,-998.4,-960.7,v6.1-2026-08-15,e5fc8d7,42,10000,(1+g)**(k/12),"Simulation Bootstrap Interval, conditional on model assumptions"
GO_accounting_7.80,10000,10000,445.8,-1004.6,-1225.6,-389.9,3474,0.3474,0.3381,0.3568,334.9,425.6,465.8,-1249.7,-1200.6,-408.5,-371.0,v6.1-2026-08-15,e5fc8d7,42,10000,(1+g)**(k/12),"Simulation Bootstrap Interval, conditional on model assumptions"
GO_economic_7.80,10000,10000,-92.4,-1548.4,-1775.5,-933.9,5848,0.5848,0.5751,0.5944,-202.2,-112.6,-72.4,-1800.1,-1749.8,-952.9,-914.7,v6.1-2026-08-15,e5fc8d7,42,10000,(1+g)**(k/12),"Simulation Bootstrap Interval, conditional on model assumptions"
C_bulk_7.02,10000,10000,2534.1,1298.5,806.0,1670.0,42,0.0042,0.0031,0.0057,2847.5,2521.5,2546.3,737.9,870.0,1631.9,1705.6,v6.1-2026-08-15,e5fc8d7,42,10000,(1+g)**(k/12),"Simulation Bootstrap Interval, conditional on model assumptions"
S_bulk_7.02,10000,10000,2949.3,1776.5,1274.8,2112.0,18,0.0018,0.0011,0.0028,3252.1,2937.6,2960.9,1204.7,1338.2,2073.1,2147.2,v6.1-2026-08-15,e5fc8d7,42,10000,(1+g)**(k/12),"Simulation Bootstrap Interval, conditional on model assumptions"
